[2025-03-04T05:12:53.111Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\views\index.html'
[2025-03-04T05:33:21.764Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:33:21.771Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:33:21.774Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:33:21.779Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:33:21.788Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:33:21.798Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:33:21.796Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:33:21.803Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:33:21.805Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:33:21.808Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:33:21.817Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:33:21.826Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:33:21.828Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:33:21.837Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:33:21.835Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:33:21.842Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:33:21.844Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:33:21.847Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:33:21.848Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:33:21.956Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:42:52.351Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:42:54.143Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:42:54.176Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:42:54.183Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:42:54.191Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:42:54.180Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:42:54.187Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:42:54.194Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:42:54.220Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:42:54.224Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:42:54.229Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:42:54.233Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:42:54.255Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:42:54.262Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:42:54.287Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:42:54.296Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:42:54.293Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:42:54.290Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:42:54.300Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:42:54.310Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:42:54.322Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:42:54.326Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:42:54.329Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:42:54.337Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:42:54.340Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:42:54.354Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:42:54.364Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:42:54.373Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:42:54.369Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:42:54.381Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:42:54.379Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:42:54.392Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:42:54.409Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:42:54.402Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:42:54.406Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:42:54.418Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:42:54.422Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:42:54.438Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:42:54.453Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:42:54.458Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:42:54.448Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:42:54.466Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:42:54.478Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:42:54.481Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:42:54.499Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:42:54.504Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:42:54.520Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:42:54.524Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:42:54.545Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:42:54.538Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:42:54.554Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:42:54.562Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:42:54.571Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:53:13.934Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:53:14.720Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:53:18.395Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:53:35.215Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:53:35.540Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T05:53:40.546Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T06:02:04.997Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T06:02:05.365Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T06:02:09.234Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T06:07:48.945Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T06:07:49.318Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T06:07:51.247Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T06:07:54.022Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T06:07:54.147Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T06:07:55.888Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T06:08:05.206Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T06:08:08.014Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T06:09:15.539Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T06:09:15.855Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-04T06:09:17.025Z] ERROR: Error: ENOENT: no such file or directory, stat 'c:\Users\anshu\Downloads\BE_Elara_Regency-main\views\404.html'
[2025-03-05T09:09:54.473Z] ERROR: TypeError: Cannot destructure property 'username' of 'req.body' as it is undefined.
    at c:\Users\anshu\Downloads\BE_Elara_Regency-main\api\apiRoutes.js:8:11
    at Layer.handle [as handle_request] (c:\Users\anshu\node_modules\express\lib\router\layer.js:95:5)
    at next (c:\Users\anshu\node_modules\express\lib\router\route.js:149:13)
    at Route.dispatch (c:\Users\anshu\node_modules\express\lib\router\route.js:119:3)
    at Layer.handle [as handle_request] (c:\Users\anshu\node_modules\express\lib\router\layer.js:95:5)
    at c:\Users\anshu\node_modules\express\lib\router\index.js:284:15
    at Function.process_params (c:\Users\anshu\node_modules\express\lib\router\index.js:346:12)
    at next (c:\Users\anshu\node_modules\express\lib\router\index.js:280:10)
    at Function.handle (c:\Users\anshu\node_modules\express\lib\router\index.js:175:3)
    at router (c:\Users\anshu\node_modules\express\lib\router\index.js:47:12)
